카테고리,전체,A,B,C,C비율,고유포맷,고유포맷_C,고유포맷_C비율
파티,63,3,22,38,0.6031746031746031,47,28,0.5957446808510638
취미,26,15,10,1,0.038461538461538464,24,1,0.041666666666666664
푸드·드링크,26,19,4,3,0.11538461538461539,17,2,0.11764705882352941
소셜게임,19,9,0,10,0.5263157894736842,15,8,0.5333333333333333
문화·예술,15,9,4,2,0.13333333333333333,15,2,0.13333333333333333
자기계발,14,8,3,3,0.21428571428571427,12,2,0.16666666666666666
여행·나들이,9,2,7,0,0.0,8,0,0.0
외국어,9,4,5,0,0.0,6,0,0.0
N잡·재테크,6,4,2,0,0.0,5,0,0.0
연애·사랑,6,0,0,6,1.0,6,6,1.0
액티비티,4,3,0,1,0.25,4,1,0.25
동네·또래,3,0,3,0,0.0,2,0,0.0
전체,200,76,60,64,0.32,159,50,0.31446540880503143
