primary_tag,card_count,unique_review_count,low_rating_review_count,high_rating_review_count,interpretation_note
안전·신뢰,25,25,24,1,카드 빈도는 전체 사용자 비율이 아니라 최신순 목적표본 안의 발화 수임
경험품질,18,18,17,1,카드 빈도는 전체 사용자 비율이 아니라 최신순 목적표본 안의 발화 수임
긍정·반례,18,18,4,14,카드 빈도는 전체 사용자 비율이 아니라 최신순 목적표본 안의 발화 수임
호스트상업화,11,11,11,0,카드 빈도는 전체 사용자 비율이 아니라 최신순 목적표본 안의 발화 수임
숨은만남신호,7,7,7,0,카드 빈도는 전체 사용자 비율이 아니라 최신순 목적표본 안의 발화 수임
탐색피로,7,7,7,0,카드 빈도는 전체 사용자 비율이 아니라 최신순 목적표본 안의 발화 수임
이탈행동,5,5,5,0,카드 빈도는 전체 사용자 비율이 아니라 최신순 목적표본 안의 발화 수임
기대불일치,3,3,3,0,카드 빈도는 전체 사용자 비율이 아니라 최신순 목적표본 안의 발화 수임
성비·조건,3,3,3,0,카드 빈도는 전체 사용자 비율이 아니라 최신순 목적표본 안의 발화 수임
대체서비스,2,2,2,0,카드 빈도는 전체 사용자 비율이 아니라 최신순 목적표본 안의 발화 수임
