period,collected_review_count,average_rating,one_star_count,low_1_to_3_count,low_1_to_3_share,high_4_to_5_count,high_4_to_5_share,interpretation_limit
2021-Q2,16,2.938,5,9,0.5625,7,0.4375,collected_corpus_only_not_review_volume_or_growth
2021-Q3,66,3.788,14,20,0.303,46,0.697,collected_corpus_only_not_review_volume_or_growth
2021-Q4,117,4.068,15,27,0.2308,90,0.7692,collected_corpus_only_not_review_volume_or_growth
2022-Q1,120,4.1,18,28,0.2333,92,0.7667,collected_corpus_only_not_review_volume_or_growth
2022-Q2,101,4.238,14,20,0.198,81,0.802,collected_corpus_only_not_review_volume_or_growth
2022-Q3,139,4.266,15,28,0.2014,111,0.7986,collected_corpus_only_not_review_volume_or_growth
2022-Q4,165,4.188,22,33,0.2,132,0.8,collected_corpus_only_not_review_volume_or_growth
2023-Q1,74,4.23,7,15,0.2027,59,0.7973,collected_corpus_only_not_review_volume_or_growth
2023-Q2,79,3.646,16,31,0.3924,48,0.6076,collected_corpus_only_not_review_volume_or_growth
2023-Q3,82,4.354,9,14,0.1707,68,0.8293,collected_corpus_only_not_review_volume_or_growth
2023-Q4,26,3.192,8,13,0.5,13,0.5,collected_corpus_only_not_review_volume_or_growth
2024-Q1,14,3.857,3,4,0.2857,10,0.7143,collected_corpus_only_not_review_volume_or_growth
2024-Q2,18,3.111,6,9,0.5,9,0.5,collected_corpus_only_not_review_volume_or_growth
2024-Q3,19,3.368,6,8,0.4211,11,0.5789,collected_corpus_only_not_review_volume_or_growth
2024-Q4,15,3.333,3,6,0.4,9,0.6,collected_corpus_only_not_review_volume_or_growth
2025-Q1,12,3.5,1,7,0.5833,5,0.4167,collected_corpus_only_not_review_volume_or_growth
2025-Q2,12,1.667,7,11,0.9167,1,0.0833,collected_corpus_only_not_review_volume_or_growth
2025-Q3,12,2.417,7,8,0.6667,4,0.3333,collected_corpus_only_not_review_volume_or_growth
2025-Q4,41,3.463,13,16,0.3902,25,0.6098,collected_corpus_only_not_review_volume_or_growth
2026-Q1,16,1.938,8,15,0.9375,1,0.0625,collected_corpus_only_not_review_volume_or_growth
2026-Q2,48,4.042,9,12,0.25,36,0.75,collected_corpus_only_not_review_volume_or_growth
2026-Q3,8,1.875,5,7,0.875,1,0.125,collected_corpus_only_not_review_volume_or_growth
