corpus_id,review_id,review_date_utc,month,cohort,rating,review_text,thumbs_up,app_version,source_url,inclusion_status,exclusion_reason,screening_note
CUR047,4d7eb368-d38d-4484-b921-b0d8557cc77f,2026-04-11T09:02:17+00:00,2026-04,april_2026_burst,5,개인적으로 소모임 보다 깔끔하고 정상적인 사람들 만났던 거 같아요,0,7.4.3,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,
CUR026,9fbbd2c3-8a0c-4962-a892-af9e238c432e,2026-04-22T06:55:45+00:00,2026-04,april_2026_burst,3,채팅이 불편한 점이 있긴 하지만 문토를 통해 다양한 활동을 경험할 수 있어서 좋습니다.,0,7.4.2,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,
CUR019,f464a544-d6bf-401e-908e-6124f680306c,2026-04-27T20:13:40+00:00,2026-04,april_2026_burst,5,문토 덕분에 취미생활을 더욱 재밌고 보람있게 보낼수있어서 좋아요. 감사합니다,0,7.4.4,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,
CUR041,838e5f50-0fc0-40f1-a244-af08f84fd4b0,2026-04-12T03:57:14+00:00,2026-04,april_2026_burst,5,문토 하면서 좋은 사람들 많이 만날수 있어서 너무 뜻깊고 즐거운 추억 많이 쌓을수 있었어요! 문토 관계자분들 문토라는 어플 만들어주셔서 진심으로 감사드립니다 🙂,0,7.4.3,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,
CUR045,8be04d0d-8ba4-4ffc-b338-8db27762e030,2026-04-11T12:08:09+00:00,2026-04,april_2026_burst,5,내가좋아하는 취미생활을 함께 할수있어서 좋아요! 취향이맞는 멤버들을 만나서 대화도잘통하고 재밌어요,0,7.4.3,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,
CUR039,9f292b02-4147-48f1-91d6-03623fef4a93,2026-04-12T04:55:39+00:00,2026-04,april_2026_burst,1,다른모임은 좋아요. 근데 파티모임은 가지마세요. 성비 박살에 여자분들은 꽁으로 참여하는 섭외 여성들이 80%입니다. 호구 처럼 비싼돈 주고 냉동안주에 물탄 위스키 드시지 마시고 자기계발만 하세요,4,,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,
CUR054,b4a1e061-7fb5-4c60-8eaa-d613297fb9d3,2026-04-10T13:07:19+00:00,2026-04,april_2026_burst,5,"문토 어플 추천 받아서 다운해봤는데 생각보다 주제도 많구 재밌는 모임들이 많아서 좋아요 공통 관심사 기반이라 처음 보는 사람이어도 대화가 어색하지 않은 점이 좋았습니다. 취향 비슷한 사람들끼리 모이다 보니 공감대 형성도 자연스럽게 되는 느낌이에요. 가볍게 참여해도 부담 없고, 이야기 나누다 보면 시간 가는 줄 모르겠더라고요. 새로운 사람 만나고 싶을 때 부담 없이 쓰기 좋은 앱이라구 생각해요 ㅎㅎ",1,7.4.3,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,
CUR055,080e897f-6569-48c5-8d54-58c0d3008cea,2026-04-03T23:30:02+00:00,2026-04,april_2026_burst,5,평소에 깊은사고와 질문을 거의 안하다보니 일의 효율성도 떨어지고 밋밋한 일상을 보내고 있었는데 이번 강연을 통해 나자신을 돌아보며 부족한 점을 발견하고 개선 방향을 잡을수 있어서 좋았어요 매우 유익하고 흥미로운 시간이었습니다,0,,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,
CUR051,4aa64b52-1812-4a02-9247-90a53184b92f,2026-04-11T01:24:03+00:00,2026-04,april_2026_burst,5,"문토를 통해서 새로운 사람들도 만나고 좋은 추억도 남길 수 있어서 좋은 것 같습니다. 덕분에 재밌는 활동들도 많이 하고, 친한 친구도 만들어서 만족스럽게 이용중입니다. 앞으로도 자주 이용할 것 같아요!",3,7.4.3,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,
CUR044,ea35c245-e259-4108-9541-c77fb720d792,2026-04-11T14:44:20+00:00,2026-04,april_2026_burst,5,취업을 하게 되면서 지방에서 서울로 이사오게 되었는데 지인이나 친구가 없어서 어떻게 사람들을 만날수 있을까 하다 문토라는 어플을 찾게 되었습니다. 좀 심심할 때 모임 나가서 여러 사람 만나다 보면 시간도 잘가고 재미도 있고 또 친구도 만들고 덕분에 좋은 사람들을 만나게 되어서 좋네요.,1,7.4.3,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,
