sample_id,platform,review_id,review_date_utc,period_bucket,rating,rating_band,review_title,review_text,source_url,inclusion_status,exclusion_reason,meaning_unit_count,card_count,researcher_note
GPR001,Google Play,ce0c6283-d115-4fc2-ad8a-483766e7327e,2022-09-26T02:00:45+00:00,early,3,low,,업데이트이후 안들어가져요 ㅜㅠ,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR002,Google Play,2db46fce-f5f4-4cf4-9a21-98df12c0a27c,2022-01-28T10:13:00+00:00,early,1,low,,업데이트가 안되네요. 무한반복중,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR003,Google Play,2ad7efd4-98dc-4f24-b7e7-4ea817eadefb,2022-01-26T07:10:38+00:00,early,1,low,,설치했는데 구글스토어에는 업데이트버튼없고 ..업데이트하라는 알람만있고 어떻게 하라는건지 모르겠어여.....,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR004,Google Play,763e2b61-c94a-4cd2-965f-5b1df6b09005,2022-08-03T02:27:37+00:00,early,1,low,,"소셜링에 모임소개 링크를 첨부했다는 이유로 소셜링 취소 및 계정 정지를 당했습니다. 다른 소셜링들도 단순히 1회 만남이 아니라 지속 가능한 모임을 운영하던데, 규정을 운영자 마음대로 적용하는 모습이 실망스럽네요. 나름 정성들여서 수 회 소셜링 운영해온 입장이라 배신감까지 들기도 합니다.",https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR005,Google Play,7302549f-b132-4a22-afd2-dddfe693beb4,2022-08-23T09:08:34+00:00,early,3,low,,"채팅방 내에서 하이퍼링크 기능을 지원해주세요. 클럽 링크를 복사, 공유했는데 텍스트로만 나와서 문토 앱 내에서는 링크의 의미가 없는 건가 싶네요.",https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR006,Google Play,0c6b1e27-a5bc-41f6-8b66-64396d512a21,2021-07-14T07:24:00+00:00,early,1,low,,"이거가입하고 다음날 보이스피싱이 오던데, 그냥 기가막히게 로또걸릴확률로 아다리 맞은거겠죠? 근데 전에는 한번도 안걸려왔는데 희안하네요 그죠?",https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR007,Google Play,ac610a7d-1e2e-4bef-aff2-7671d1e937a9,2022-01-19T00:51:50+00:00,early,1,low,,다시 깔았는데도 왜자꾸 업데이트 하라고 할까용... 업데이트 하래서 구글 플레이 접속했는데 따로 업데이트 버튼은 안뜨고...ㅜ 제거후 다시 설치했는데도 업데이트 하라고해서 접속못하고 있어요~,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR008,Google Play,a72489a4-1bcf-4434-b672-e310091309ae,2021-09-16T05:20:30+00:00,early,1,low,,계정이 사라짐.,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR009,Google Play,e16b235f-c3d9-4ee3-bf18-1f3582543c31,2021-11-24T00:03:22+00:00,early,2,low,,결제가 안되요ㅠ,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR010,Google Play,207b3c99-6fbf-4d43-b912-6886a4d57948,2021-11-13T05:50:13+00:00,early,1,low,,프로필 수정 누르면 멈추네요 겔럭시 10 kt입니다,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR011,Google Play,5a7637a9-dccb-4c59-ad78-7f7fa97d5f88,2021-06-20T01:22:09+00:00,early,1,low,,심사 하루면 되지않나요? 얼마나 더 걸리는거에요ㅡㅡ?,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR012,Google Play,9489eb27-9c08-4c55-83fc-dfd000381cea,2022-04-28T05:40:09+00:00,early,2,low,,가족 핸드폰이 안드로이드 버전 5.1.1.인데 아예 설치가 안 됩니다. 지원하지 않는 기기라면서..찾아보니 안드로이드 버전 6부터 설치 되더군요. 5.1.1도 설치 되게 만들어 주실 수 없나요? 다른 앱은 설치 다 잘 되는데 문토만 안 돼서 이용할 수가 없어요. 웹페이지에서 이용도 안 되고..,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR013,Google Play,ae7064ca-e3b8-4596-bca6-1a0766298887,2021-12-08T16:15:08+00:00,early,3,low,,Z가입이 안되네여...?,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR014,Google Play,4cef3a61-456e-4e44-980f-8c7053db729f,2021-11-03T10:41:25+00:00,early,1,low,,이제까지 사용한 어플 중에서 가입승인 및 사용이 가장 불편하고 고객센터 대응도 나를 무시하는건가 생각이 들 정도로 최악이었습니다.,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR015,Google Play,336f563e-f6eb-4390-a2fc-1009c09fee8a,2022-12-14T02:01:42+00:00,early,1,low,,가입절차가 복잡합니다. 카카오톡가입 후 전화번호 인증시 070 차단해제 국내전화번호 맞고 가상번호가 맞는데도 문자가 안오네요 카카오톡으로 받기로해도 안옵니다. 우측상단에 도움요청을 누르라는데 그런버튼도 따로없네요,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR016,Google Play,abc6fa45-d4cc-4bf7-bc6b-1fdf8533acc1,2022-09-26T02:04:54+00:00,early,3,low,,업데이트하라는데 스토어에 들어오면 열기 라고 나와있어서 업데이트가 안돼요,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR017,Google Play,81e462be-4193-4d3e-8053-3464e3a54863,2022-01-31T14:18:57+00:00,early,1,low,,사용 제한이 됬는데 납득이 안 되서 고객센터에 연락을 하고 싶은데 연락을 받지 않음,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR018,Google Play,11fc6f80-bac0-409b-8556-2cfcd7928b97,2022-11-29T12:07:26+00:00,early,1,low,,"승인제여서 좋았지만 서너달 사용해보며 느낀점, 물론 정상적인 사람도 많지만, 여자(남자도 포함)가볍게만나려고 오는 사람들이 많다. 특히, 다른 소개팅 앱이나 사이트에서 정지 신고 먹고 오는 그런 사람 들이 호스트로 소셜링을 열면서 처음엔 정상적인 척 소셜링에 참여하도록 유도하고 그 다음에는 개인 dm해서 이상형물어보고 이런 식인거 같은데.. 단순 소셜링 참여가 아니라 주기적으로 여는 소셜링클럽도 이런 목적을 가지고 엶. 따라서 어플의 질을 고려해서도 이런 사람들을 제한할 수 있도록 하는 장치가 마련되었으면 한다",https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR019,Google Play,4c48d797-ef8c-4b21-90d0-faa67696ac17,2022-09-14T20:42:02+00:00,early,1,low,,문토쓰레기네요!! 내 계정을 맘대로 정지시키고 내 생걱대로 내가 운영하는 방식의 내 취미모임잌데 왜 갑자기 정지시켰는지..참내..나와 생각이 틀리면 정지?? 언론에서 나오는 뉴스를 모르는분들께 취미삼아 올린건데.정지?? 이것도 취미입니다. 같이 생각하는..정신 똑바로 차리교 문토!! 밍할각!!,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR020,Google Play,71555da3-9065-4dc7-80ca-3749f7636043,2022-08-24T09:43:25+00:00,early,1,low,,이상한 시스템에 알 수 없는 규정들 나열하고 모임 3일전 취소하고 문자하나 띡 보내요. 대관 다 해 놓았는데. 대관비 물어 줄껀가요? 아예 일주일 전부터 취소 하셨어야죠. 할거면. 이유 물어보려고 연락했더니 전화는 안 받고 카톡문의했는데 헛소리만하고 답장도 뜨문뜨문와서 포기했습니다. 서비스 상담 직원이 진짜 이상해요. 서비스 이런식으로 하면 고객들 다 돌아설겁니다. 피드백 제대로 해주세요.,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR021,Google Play,2d4afd9d-db16-411b-95c1-dd273191dbcf,2022-02-18T22:22:49+00:00,early,3,low,,1. 소셜링 개설 시각 표시 안됨. 개설 시각 시점으로 소팅 안됨. 소팅 추가 필요함 2. 중복되는 소셜링이 계속나옴 3. 한 화면에 표시되는 소셜링 숫자 너무 적음 스크롤을 계속내려야함 너무 불편함 개선 필요,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
GPR022,Google Play,0582fffa-1e5a-4e04-8fb7-5ed9abd64e4b,2021-09-20T04:20:20+00:00,early,2,low,,세상진리 모르는 앱,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app,,,,,
