row,verdict,reason,date,title,url
1,exclude,동일 본문 재게시물; 가장 이른 공개 원문 1건만 유지,2022-05-19,친구 사귀는데 소모임 어플 좋다해서 가입했다가 대략 15번 정도 당황한 썰,https://cafe.daum.net/subdued20club/ReHf/3863554
2,include,소모임 앱 탐색·가입·참석·평가 경험이 원문의 실질적 맥락,2024-01-22,소모임 어플의 특징,https://cafe.daum.net/rocksoccer/ADs1/1192208
3,include,소모임 앱 탐색·가입·참석·평가 경험이 원문의 실질적 맥락,2018-10-21,소모임 어플 정모 후기,https://cafe.daum.net/ssaumjil/EpQf/11641
4,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2020-02-27,성남 따뜻한세상만들기,https://cafe.daum.net/snddase/NSMH/21
5,exclude,앱이 주변적으로만 언급되거나 일반 동호회·다른 주제가 본문 중심,2026-02-20,● '초심으로 돌아가다',https://cafe.daum.net/ilovesanorg/qXLc/25
6,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2017-05-11,소모임에서 레슨선생님 구합니다.,https://cafe.daum.net/pianolf/J0Kd/107671
7,include,소모임 앱 탐색·가입·참석·평가 경험이 원문의 실질적 맥락,2016-04-07,수원 소모임 어떻게 들어갈 수 있을까요?,https://cafe.daum.net/WorldcupLove/R6/1271427
8,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2018-03-29,Show of the music 소모임 초대합니다ㅎ,https://cafe.daum.net/pianolf/J0Kd/117395
9,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2016-02-26,아댄스 소모임을 아시나요?,https://cafe.daum.net/ilovedancesports/5jX/92677
10,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2018-03-30,Show of the music 소모임 레슨생 모집합니다ㅎ,https://cafe.daum.net/pianolf/J0Kd/117436
11,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2013-09-10,추천 어플입니다,https://cafe.daum.net/sbb88/EwCk/6906
12,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2016-04-30,소모임 같이 갑시다,https://cafe.daum.net/tjmatzip/W1Y/1060
13,exclude,앱이 주변적으로만 언급되거나 일반 동호회·다른 주제가 본문 중심,2020-12-05,오프라인에서 주식어플보는법 주식사는법 파는법 이런거 일대일로 배우고싶은데,https://cafe.daum.net/subdued20club/W1Lc/243892
14,include,소모임 앱 탐색·가입·참석·평가 경험이 원문의 실질적 맥락,2019-04-07,사당 플라워 레슨 후기,https://cafe.daum.net/subdued20club/LxCT/255512
15,exclude,앱이 주변적으로만 언급되거나 일반 동호회·다른 주제가 본문 중심,2024-04-18,에버라틴댄스클럽,https://cafe.daum.net/kwbsht/K7X3/3074
16,exclude,앱이 주변적으로만 언급되거나 일반 동호회·다른 주제가 본문 중심,2016-01-22,사진동호회 운영진하면서 울며 겨자먹기로 사진배우며 찍은 사진들 (유럽여행주의),https://cafe.daum.net/subdued20club/Scxl/52440
17,exclude,앱이 주변적으로만 언급되거나 일반 동호회·다른 주제가 본문 중심,2023-05-10,에버라틴댄스클럽,https://cafe.daum.net/kwbsht/K7X3/2920
18,exclude,앱이 주변적으로만 언급되거나 일반 동호회·다른 주제가 본문 중심,2018-08-04,어느 의상디자이너 이야기 4,https://cafe.daum.net/ok1221/9Zdf/1279317
19,exclude,앱이 주변적으로만 언급되거나 일반 동호회·다른 주제가 본문 중심,2018-05-13,어느 의상디자이너 이야기 4,https://cafe.daum.net/ok1221/9Zdf/1179977
20,exclude,앱이 주변적으로만 언급되거나 일반 동호회·다른 주제가 본문 중심,2020-07-11,비혼을 생각하고 있는 밀토 회원이라면 참고해볼 기사,https://cafe.daum.net/baemilytory/91cd/139881
21,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2018-10-31,2018년 10월 누리사랑나눔 사진~~,https://cafe.daum.net/nurisarangcafe/IzQp/887
22,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2017-03-20,상계동 피아노&악기&연습실대여로 유명한 교습소 팝니다 600/60/1500,https://cafe.daum.net/pianolf/1do/17847
23,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2020-11-12,제1회 우리들이 만드는 캘리그라피 회원전 '안녕전',https://cafe.daum.net/gongjeon21c/XPfO/949
24,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2019-01-06,[중국어회화][종로/회기]中韩语言交流会！중국인과 함께 하는 중국어 회화!!|◐,https://cafe.daum.net/zhaolaoshi/8lI4/1849
25,exclude,앱이 주변적으로만 언급되거나 일반 동호회·다른 주제가 본문 중심,2023-06-21,대한민국 테니스계의 앞날은...(2편),https://cafe.daum.net/dhtennis7330/dgmb/77
26,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2021-06-01,[모집중] 돈 버는 독서모임 함께 하실래요?,https://cafe.daum.net/wfwijs/AVeS/1300
27,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2019-09-16,진실탁과 나그네탁의 2차 교류전 이야기,https://cafe.daum.net/bbabbabbatakgu/puPs/3
28,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2021-01-07,2021년 1월~3월 SDA 운영방침 안내드립니다,https://cafe.daum.net/sdamu/1nCx/816
29,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2016-10-12,2016. 10. 09 나라사랑 월례회,https://cafe.daum.net/inyec/kGsQ/92
30,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2019-07-23,7월 20일 시간낭비+ 개인봉사자,https://cafe.daum.net/nurisarangcafe/2vwz/359
31,exclude,앱이 주변적으로만 언급되거나 일반 동호회·다른 주제가 본문 중심,2018-03-12,3/11 정모후기,https://cafe.daum.net/ilketennis/1n0z/12518
32,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2020-01-15,55기 청춘기타 강습반 모집합니다. 2020.01.17(1-11일 1차 수정),https://cafe.daum.net/busantongli/OoRF/37
33,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2018-10-31,나눔을 전하는 사람들(봉사활동.자원봉사),https://cafe.daum.net/nanum36.5/M0Sp/436
34,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2023-01-15,🧑🏻‍🎨대전 그림 모임 [차차 드로우] 모집해요! 초보자도 할 수 있다!,https://cafe.daum.net/gunsystem/3Vy/41431
35,exclude,카페 준회원 가입 신청 양식; 앱은 가입 경로 선택지로만 등장,2018-08-30,준회원 등급업 부탁드려여 ^^,https://cafe.daum.net/gloriousdays/ae5f/1486
36,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2019-01-15,[중국어회화][종로/회기]中韩语言交流会！중국인과 함께 하는 중국어 회화!!,https://cafe.daum.net/zhaolaoshi/8lI4/1851
37,exclude,카페 준회원 가입 신청 양식; 앱은 가입 경로 선택지로만 등장,2017-05-13,준회원신청합니다,https://cafe.daum.net/gloriousdays/ae5f/984
38,exclude,앱이 주변적으로만 언급되거나 일반 동호회·다른 주제가 본문 중심,2018-03-14,3월11일 정모후기 늦었어요!ㅠㅠ,https://cafe.daum.net/ilketennis/1n0z/12525
39,exclude,카페 준회원 가입 신청 양식; 앱은 가입 경로 선택지로만 등장,2017-04-10,신청합니다,https://cafe.daum.net/gloriousdays/ae5f/953
40,exclude,회원 모집·홍보·운영 공지 또는 활동 보고,2023-01-08,🧑🏻‍🎨대전 그림 모임 [차차 드로우] 모집해요! 생초보자 환영합니다~,https://cafe.daum.net/gunsystem/3Vy/41428
