index,decision,reason,site,source_kind,title,url
0,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,취미 소모임 일단 거르는 곳,https://www.dogdrip.net/426346186
1,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,90년대 키보드 워리어 주작충의 최후,https://www.dogdrip.net/452387785
2,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,"소모임, 동호회 특징.txt",https://www.dogdrip.net/689447712
3,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,스압) sns 재무설계사의 현실,https://www.dogdrip.net/418281911
4,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,내 이야기좀 들어주고 조언해줄사람,https://www.dogdrip.net/608112282
5,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,소모임 좆망하게 만드는 빌런 원탑.jpg,https://www.dogdrip.net/539097639
6,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,부산 30년 살이가 느낀 서울 사람들의 성향.txt,https://www.dogdrip.net/434697448
7,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,작년에 오버워치 그마 사칭한 초딩 인실좆 한 썰,https://www.dogdrip.net/203145526
8,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,사기친 초딩썰 보고 떠오른 오버워치 사칭 참교육썰,https://www.dogdrip.net/359495076
9,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,🐴) 고백거절하고 썸녀가족에게 털린 썰,https://www.dogdrip.net/321137566
10,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,오늘자 성평등 투사.jpg,https://www.dogdrip.net/122027270
11,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,사칭하던 잼민이 인실ㅈ 썰,https://www.dogdrip.net/329322220
12,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,같은 취미 찾으러 갔다가 좀 서럽게 됐음,https://m.pann.nate.com/talk/375584877
13,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,소모임에서 만나 남녀 섞여 1박2일 놀러간다는 남자친구,https://m.pann.nate.com/talk/344886839
14,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,30대인데 친구가없어요 ㅠ,https://m.pann.nate.com/talk/375535922
15,keep,K01_REVIEWED_APP_EXPERIENCE,nate,legacy,소모임 어플 강퇴됬는데 재가입안됨?,https://m.pann.nate.com/talk/330804801
16,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,독서 소모임 나가본 후기[Feat.그냥 비추],https://m.pann.nate.com/talk/368879130
17,keep,K01_REVIEWED_APP_EXPERIENCE,nate,legacy,소모임에서의 개념상실 모임장,https://m.pann.nate.com/talk/325457936
